frame_index,radial_bin,radius_pixels,ground_truth_radial_profile,reconstruction_radial_profile,pixel_count
4,37,9.08203125,0.05591397849462365,0.05718954248366014,12
4,38,9.32421875,0.04838709677419355,0.05735294117647059,8
4,39,9.56640625,0.05860215053763441,0.06486928104575163,24
4,40,9.80859375,0.04233870967741936,0.054411764705882354,16
4,41,10.05078125,0.04032258064516129,0.047058823529411764,16
4,42,10.29296875,,,0
4,43,10.53515625,0.033179723502304144,0.04355742296918768,28
4,44,10.77734375,0.028629032258064513,0.03308823529411765,16
4,45,11.01953125,0.025,0.029901960784313723,16
4,46,11.26171875,0.023387096774193553,0.02303921568627451,8
4,47,11.50390625,0.01975806451612903,0.023529411764705882,32
4,48,11.74609375,0.016935483870967744,0.016911764705882355,16
4,49,11.98828125,0.016451612903225804,0.014509803921568625,20
4,50,12.23046875,0.01532258064516129,0.014705882352941176,16
4,51,12.47265625,0.0125,0.017892156862745097,16
4,52,12.71484375,0.012634408602150538,0.012254901960784312,24
4,53,12.95703125,0.010887096774193548,0.010784313725490196,16
4,54,13.19921875,0.009274193548387098,0.010049019607843136,16
4,55,13.44140625,0.008064516129032258,0.007254901960784313,20
4,56,13.68359375,0.0066532258064516125,0.007352941176470588,32
4,57,13.92578125,0.004838709677419355,0.006862745098039216,8
4,58,14.16796875,0.005376344086021505,0.0060457516339869274,24
4,59,14.41015625,0.004435483870967742,0.00392156862745098,16
4,60,14.65234375,0.003629032258064516,0.00428921568627451,32
4,61,14.89453125,0.00391705069124424,0.0029411764705882353,28
4,62,15.13671875,0.0028225806451612906,0.003431372549019608,16
4,63,15.37890625,0.0016129032258064516,0.0029411764705882353,8
5,0,0.12109375,,,0
5,1,0.36328125,,,0
5,2,0.60546875,0.0025,0.00980392156862745,4
5,3,0.84765625,,,0
5,4,1.08984375,,,0
5,5,1.33203125,,,0
5,6,1.57421875,0.00625,0.018137254901960782,8
5,7,1.81640625,,,0
5,8,2.05859375,0.022500000000000003,0.051960784313725486,4
5,9,2.30078125,,,0
5,10,2.54296875,0.10375,0.16862745098039217,8
5,11,2.78515625,,,0
5,12,3.02734375,0.25,0.27156862745098037,8
5,13,3.26953125,,,0
5,14,3.51171875,0.48666666666666664,0.42516339869281045,12
5,15,3.75390625,0.5575,0.47549019607843135,8
5,16,3.99609375,,,0
5,17,4.23828125,0.54125,0.5279411764705882,8
5,18,4.48046875,0.67125,0.5808823529411765,8
5,19,4.72265625,0.5875,0.5813725490196079,8
5,20,4.96484375,0.5475,0.5529411764705882,4
5,21,5.20703125,0.515,0.5617647058823529,8
5,22,5.44921875,0.43,0.532843137254902,8
5,23,5.69140625,0.43,0.4808823529411764,16
5,24,5.93359375,0.3425,0.4024509803921569,8
5,25,6.17578125,,,0
5,26,6.41796875,0.2665,0.30960784313725487,20
5,27,6.66015625,0.21,0.292156862745098,8
5,28,6.90234375,0.19,0.2181372549019608,8
5,29,7.14453125,0.19999999999999998,0.17941176470588235,8
5,30,7.38671875,0.16,0.15784313725490198,8
5,31,7.62890625,0.155,0.19583333333333333,16
5,32,7.87109375,0.13699999999999998,0.11921568627450978,20
5,33,8.11328125,,,0
5,34,8.35546875,0.12375,0.09950980392156863,8
5,35,8.59765625,0.12125000000000001,0.11241830065359477,24
5,36,8.83984375,0.10187500000000001,0.08774509803921568,16
5,37,9.08203125,0.08416666666666667,0.07549019607843138,12
5,38,9.32421875,0.07625,0.06470588235294117,8
5,39,9.56640625,0.08750000000000001,0.09215686274509804,24
5,40,9.80859375,0.06625,0.07230392156862744,16
5,41,10.05078125,0.058125,0.06838235294117648,16
5,42,10.29296875,,,0
5,43,10.53515625,0.052500000000000005,0.06330532212885155,28
5,44,10.77734375,0.045000000000000005,0.050980392156862744,16
5,45,11.01953125,0.040625,0.05073529411764706,16
5,46,11.26171875,0.03875,0.03284313725490196,8
5,47,11.50390625,0.029375000000000002,0.03995098039215686,32
5,48,11.74609375,0.02625,0.03480392156862745,16
5,49,11.98828125,0.026500000000000003,0.029411764705882353,20
5,50,12.23046875,0.021249999999999998,0.031862745098039214,16
5,51,12.47265625,0.016875,0.031127450980392157,16
5,52,12.71484375,0.018333333333333333,0.027450980392156862,24
5,53,12.95703125,0.01625,0.025735294117647058,16
5,54,13.19921875,0.013125000000000001,0.024019607843137253,16
5,55,13.44140625,0.012499999999999999,0.019411764705882354,20
5,56,13.68359375,0.009375000000000001,0.01948529411764706,32
5,57,13.92578125,0.00875,0.021568627450980392,8
5,58,14.16796875,0.00875,0.019444444444444445,24
5,59,14.41015625,0.005625,0.014215686274509804,16
5,60,14.65234375,0.0065625,0.014828431372549019,32
5,61,14.89453125,0.0064285714285714285,0.013725490196078433,28
5,62,15.13671875,0.005,0.013725490196078431,16
5,63,15.37890625,0.0025,0.012745098039215686,8
6,0,0.12109375,,,0
6,1,0.36328125,,,0
6,2,0.60546875,0.005813953488372093,0.01568627450980392,4
6,3,0.84765625,,,0
6,4,1.08984375,,,0
6,5,1.33203125,,,0
