label,i,j,relative_distance,stage,prior_weight
delta,2,5,0.002852654962018188,01_spatial_tv_prior_init,0.05
delta,2,6,0.0037552491952390276,01_spatial_tv_prior_init,0.05
delta,2,7,0.004683548121474199,01_spatial_tv_prior_init,0.05
delta,2,8,0.0056043616067358755,01_spatial_tv_prior_init,0.05
delta,2,9,0.006515037302670409,01_spatial_tv_prior_init,0.05
delta,2,10,0.007425369543800547,01_spatial_tv_prior_init,0.05
delta,2,11,0.008358204911252831,01_spatial_tv_prior_init,0.05
delta,2,12,0.00920798646083481,01_spatial_tv_prior_init,0.05
delta,2,13,0.010081961261316373,01_spatial_tv_prior_init,0.05
delta,2,14,0.010950110064270288,01_spatial_tv_prior_init,0.05
delta,3,4,0.0009590815666693317,01_spatial_tv_prior_init,0.05
delta,3,5,0.0019610126131758446,01_spatial_tv_prior_init,0.05
delta,3,6,0.0028724250930087254,01_spatial_tv_prior_init,0.05
delta,3,7,0.0038099357306500678,01_spatial_tv_prior_init,0.05
delta,3,8,0.004740027598394169,01_spatial_tv_prior_init,0.05
delta,3,9,0.005659871973226646,01_spatial_tv_prior_init,0.05
delta,3,10,0.006579738077090513,01_spatial_tv_prior_init,0.05
delta,3,11,0.007522631114501475,01_spatial_tv_prior_init,0.05
delta,3,12,0.008381614773743848,01_spatial_tv_prior_init,0.05
delta,3,13,0.009265354976556273,01_spatial_tv_prior_init,0.05
delta,3,14,0.010143352879212628,01_spatial_tv_prior_init,0.05
delta,4,5,0.0010131163696777343,01_spatial_tv_prior_init,0.05
delta,4,6,0.001932922319855477,01_spatial_tv_prior_init,0.05
delta,4,7,0.002879465694873687,01_spatial_tv_prior_init,0.05
delta,4,8,0.0038188164160295295,01_spatial_tv_prior_init,0.05
delta,4,9,0.004747795037166675,01_spatial_tv_prior_init,0.05
delta,4,10,0.005677316216669351,01_spatial_tv_prior_init,0.05
delta,4,11,0.0066304300391078095,01_spatial_tv_prior_init,0.05
delta,4,12,0.007498857920906146,01_spatial_tv_prior_init,0.05
delta,4,13,0.008392771869879218,01_spatial_tv_prior_init,0.05
delta,4,14,0.009281016566305035,01_spatial_tv_prior_init,0.05
delta,5,6,0.0009267902425065395,01_spatial_tv_prior_init,0.05
delta,5,7,0.001882139653189578,01_spatial_tv_prior_init,0.05
delta,5,8,0.002830400194698199,01_spatial_tv_prior_init,0.05
delta,5,9,0.003768588131273104,01_spatial_tv_prior_init,0.05
delta,5,10,0.004707869442478717,01_spatial_tv_prior_init,0.05
delta,5,11,0.0056714335653615415,01_spatial_tv_prior_init,0.05
delta,5,12,0.006549705578110458,01_spatial_tv_prior_init,0.05
delta,5,13,0.007454249493193405,01_spatial_tv_prior_init,0.05
delta,5,14,0.00835326330448517,01_spatial_tv_prior_init,0.05
delta,6,7,0.0009640367187927695,01_spatial_tv_prior_init,0.05
delta,6,8,0.0019201803181002816,01_spatial_tv_prior_init,0.05
delta,6,9,0.0028666356556480204,01_spatial_tv_prior_init,0.05
delta,6,10,0.00381483161291252,01_spatial_tv_prior_init,0.05
delta,6,11,0.004787935462119506,01_spatial_tv_prior_init,0.05
delta,6,12,0.0056751460797250936,01_spatial_tv_prior_init,0.05
delta,6,13,0.006589381195744596,01_spatial_tv_prior_init,0.05
delta,6,14,0.00749824692340171,01_spatial_tv_prior_init,0.05
delta,7,8,0.0009635661693254619,01_spatial_tv_prior_init,0.05
