image_index,data_index,loss,stage,prior_weight
7,14,3.725327045920344,02_residual_signed_ot_from_spatial_init,0.05
8,0,3.666319821784763,02_residual_signed_ot_from_spatial_init,0.05
8,1,3.6697929587648446,02_residual_signed_ot_from_spatial_init,0.05
8,2,3.673568097401413,02_residual_signed_ot_from_spatial_init,0.05
8,3,3.677252673064851,02_residual_signed_ot_from_spatial_init,0.05
8,4,3.6812645519190257,02_residual_signed_ot_from_spatial_init,0.05
8,5,3.6854836289988997,02_residual_signed_ot_from_spatial_init,0.05
8,6,3.689128128679622,02_residual_signed_ot_from_spatial_init,0.05
8,7,3.693033819347322,02_residual_signed_ot_from_spatial_init,0.05
8,8,3.6969063769488812,02_residual_signed_ot_from_spatial_init,0.05
8,9,3.700782825230208,02_residual_signed_ot_from_spatial_init,0.05
8,10,3.7048533193611344,02_residual_signed_ot_from_spatial_init,0.05
8,11,3.709081803317938,02_residual_signed_ot_from_spatial_init,0.05
8,12,3.7128083346325216,02_residual_signed_ot_from_spatial_init,0.05
8,13,3.7166727208070554,02_residual_signed_ot_from_spatial_init,0.05
8,14,3.720689999059834,02_residual_signed_ot_from_spatial_init,0.05
9,0,3.6628336287104055,02_residual_signed_ot_from_spatial_init,0.05
9,1,3.6662499591578617,02_residual_signed_ot_from_spatial_init,0.05
9,2,3.6699640166227265,02_residual_signed_ot_from_spatial_init,0.05
9,3,3.673590061411619,02_residual_signed_ot_from_spatial_init,0.05
9,4,3.677538381164662,02_residual_signed_ot_from_spatial_init,0.05
9,5,3.6816887870158985,02_residual_signed_ot_from_spatial_init,0.05
9,6,3.685269022524759,02_residual_signed_ot_from_spatial_init,0.05
9,7,3.6891064641514477,02_residual_signed_ot_from_spatial_init,0.05
9,8,3.69290898509337,02_residual_signed_ot_from_spatial_init,0.05
9,9,3.6967136737907373,02_residual_signed_ot_from_spatial_init,0.05
9,10,3.700710432410613,02_residual_signed_ot_from_spatial_init,0.05
9,11,3.704860646988748,02_residual_signed_ot_from_spatial_init,0.05
9,12,3.708513690898983,02_residual_signed_ot_from_spatial_init,0.05
9,13,3.712300639978962,02_residual_signed_ot_from_spatial_init,0.05
9,14,3.7162390018542055,02_residual_signed_ot_from_spatial_init,0.05
10,0,3.6594132716899375,02_residual_signed_ot_from_spatial_init,0.05
10,1,3.6627740114718694,02_residual_signed_ot_from_spatial_init,0.05
10,2,3.6664281893131703,02_residual_signed_ot_from_spatial_init,0.05
10,3,3.669996792361243,02_residual_signed_ot_from_spatial_init,0.05
10,4,3.67388267088669,02_residual_signed_ot_from_spatial_init,0.05
10,5,3.6779654605483,02_residual_signed_ot_from_spatial_init,0.05
10,6,3.6814824044272987,02_residual_signed_ot_from_spatial_init,0.05
10,7,3.68525255478976,02_residual_signed_ot_from_spatial_init,0.05
10,8,3.6889858687942,02_residual_signed_ot_from_spatial_init,0.05
10,9,3.692719552232019,02_residual_signed_ot_from_spatial_init,0.05
10,10,3.6966431927084438,02_residual_signed_ot_from_spatial_init,0.05
10,11,3.700715626888793,02_residual_signed_ot_from_spatial_init,0.05
10,12,3.7042955570552207,02_residual_signed_ot_from_spatial_init,0.05
10,13,3.7080053181084285,02_residual_signed_ot_from_spatial_init,0.05
10,14,3.7118648272943506,02_residual_signed_ot_from_spatial_init,0.05
11,0,3.656108702171743,02_residual_signed_ot_from_spatial_init,0.05
11,1,3.6594155469975833,02_residual_signed_ot_from_spatial_init,0.05
11,2,3.6630116070118435,02_residual_signed_ot_from_spatial_init,0.05
11,3,3.6665243843523836,02_residual_signed_ot_from_spatial_init,0.05
11,4,3.67034949440225,02_residual_signed_ot_from_spatial_init,0.05
11,5,3.6743663755708678,02_residual_signed_ot_from_spatial_init,0.05
11,6,3.677821590344875,02_residual_signed_ot_from_spatial_init,0.05
11,7,3.6815260474338443,02_residual_signed_ot_from_spatial_init,0.05
11,8,3.6851916689049125,02_residual_signed_ot_from_spatial_init,0.05
11,9,3.6888557979817076,02_residual_signed_ot_from_spatial_init,0.05
11,10,3.6927076851226963,02_residual_signed_ot_from_spatial_init,0.05
11,11,3.6967036311016224,02_residual_signed_ot_from_spatial_init,0.05
11,12,3.7002115755219913,02_residual_signed_ot_from_spatial_init,0.05
11,13,3.7038452210341473,02_residual_signed_ot_from_spatial_init,0.05
11,14,3.7076267964828524,02_residual_signed_ot_from_spatial_init,0.05
12,0,3.653146277893054,02_residual_signed_ot_from_spatial_init,0.05
12,1,3.6564025097417305,02_residual_signed_ot_from_spatial_init,0.05
12,2,3.6599439658547546,02_residual_signed_ot_from_spatial_init,0.05
12,3,3.6634042626973042,02_residual_signed_ot_from_spatial_init,0.05
12,4,3.6671722242216633,02_residual_signed_ot_from_spatial_init,0.05
12,5,3.671127075787741,02_residual_signed_ot_from_spatial_init,0.05
12,6,3.674524107116889,02_residual_signed_ot_from_spatial_init,0.05
12,7,3.6781665475804117,02_residual_signed_ot_from_spatial_init,0.05
12,8,3.6817681919979632,02_residual_signed_ot_from_spatial_init,0.05
12,9,3.6853664897949754,02_residual_signed_ot_from_spatial_init,0.05
12,10,3.689150376499315,02_residual_signed_ot_from_spatial_init,0.05
12,11,3.6930737262566184,02_residual_signed_ot_from_spatial_init,0.05
12,12,3.6965132306151176,02_residual_signed_ot_from_spatial_init,0.05
12,13,3.7000743910283296,02_residual_signed_ot_from_spatial_init,0.05
12,14,3.703781625817064,02_residual_signed_ot_from_spatial_init,0.05
13,0,3.6503070008786462,02_residual_signed_ot_from_spatial_init,0.05
13,1,3.6535145003463763,02_residual_signed_ot_from_spatial_init,0.05
13,2,3.6570033131498407,02_residual_signed_ot_from_spatial_init,0.05
13,3,3.660413017719548,02_residual_signed_ot_from_spatial_init,0.05
13,4,3.664125913301021,02_residual_signed_ot_from_spatial_init,0.05
13,5,3.668020895977585,02_residual_signed_ot_from_spatial_init,0.05
13,6,3.6713617297454384,02_residual_signed_ot_from_spatial_init,0.05
13,7,3.674944179925136,02_residual_signed_ot_from_spatial_init,0.05
13,8,3.6784838448015753,02_residual_signed_ot_from_spatial_init,0.05
13,9,3.682018300106794,02_residual_signed_ot_from_spatial_init,0.05
13,10,3.6857361332448866,02_residual_signed_ot_from_spatial_init,0.05
13,11,3.6895888583540537,02_residual_signed_ot_from_spatial_init,0.05
13,12,3.6929616935421117,02_residual_signed_ot_from_spatial_init,0.05
13,13,3.696452111683028,02_residual_signed_ot_from_spatial_init,0.05
13,14,3.7000866648366677,02_residual_signed_ot_from_spatial_init,0.05
14,0,3.648186884976609,02_residual_signed_ot_from_spatial_init,0.05
14,1,3.6513643925088024,02_residual_signed_ot_from_spatial_init,0.05
14,2,3.654820843456345,02_residual_signed_ot_from_spatial_init,0.05
14,3,3.658199395492314,02_residual_signed_ot_from_spatial_init,0.05
14,4,3.661878318993035,02_residual_signed_ot_from_spatial_init,0.05
14,5,3.665736388894076,02_residual_signed_ot_from_spatial_init,0.05
14,6,3.669042594271576,02_residual_signed_ot_from_spatial_init,0.05
14,7,3.6725881088243906,02_residual_signed_ot_from_spatial_init,0.05
14,8,3.676089599580205,02_residual_signed_ot_from_spatial_init,0.05
14,9,3.679584710500155,02_residual_signed_ot_from_spatial_init,0.05
14,10,3.6832618152587377,02_residual_signed_ot_from_spatial_init,0.05
14,11,3.687070952154852,02_residual_signed_ot_from_spatial_init,0.05
14,12,3.690402649335703,02_residual_signed_ot_from_spatial_init,0.05
14,13,3.6938494242450455,02_residual_signed_ot_from_spatial_init,0.05
14,14,3.697439074330407,02_residual_signed_ot_from_spatial_init,0.05
