gt_index,gt_name,orientation,best_flux_scale,scaled_rel_residual,complex_corr,conj_best_flux_scale,conj_scaled_rel_residual,conj_complex_corr,conjugate_better_scaled,obs_frame_index,obs_name,rank
14,frame_014.png,original,0.002513459063695905,0.39546655279133147,0.9205286275841942,0.0022992557536032792,0.5422686379548904,0.8743604404600693,False,0,frame_00.npz,20
12,frame_012.png,flip_ud,0.0030726091696938293,0.40007989904511804,0.9170449654481965,0.002897852346882345,0.5028824712327447,0.8840792371480951,False,0,frame_00.npz,21
4,frame_004.png,rot90,0.0027702122131380937,0.40061876590358764,0.9164494513057575,0.00269580105436348,0.45275803286029864,0.9119766823181767,False,0,frame_00.npz,22
4,frame_004.png,flip_ud,0.0027180100325586093,0.4011817637318109,0.9169072326829356,0.0025606450944047105,0.5052640449589876,0.8943857817434281,False,0,frame_00.npz,23
9,frame_009.png,flip_ud,0.0035518221021612743,0.40582515875475544,0.9146277273079029,0.003404709864709141,0.48213673372091054,0.8940805941220619,False,0,frame_00.npz,24
5,frame_005.png,transpose,0.0020746524552035426,0.41313973190084513,0.9254008008795956,0.002106853548230092,0.38044803374493447,0.9265203191771298,True,0,frame_00.npz,25
5,frame_005.png,flip_ud,0.00204038729385167,0.41385044670263954,0.9105322490665408,0.0019791859899729322,0.46929934790256006,0.9015199912047605,False,0,frame_00.npz,26
8,frame_008.png,flip_ud,0.0025374336269262405,0.42140306612443723,0.9078466950925929,0.0024636203304314987,0.4740596438872058,0.8952002195983185,False,0,frame_00.npz,27
4,frame_004.png,transpose,0.0027721475255239473,0.42860267850017436,0.9174987717459661,0.002799320611071155,0.40941274007417366,0.9145003313131314,True,0,frame_00.npz,28
1,frame_001.png,original,0.0030707352165003257,0.4321085861529193,0.9022499492494619,0.002810505554973872,0.564553242880293,0.8509526099801511,False,0,frame_00.npz,29
7,frame_007.png,rot90,0.0031344604553824556,0.4347270245281748,0.9014913151948213,0.0031346064270528122,0.4346401344551566,0.9177119226907104,True,0,frame_00.npz,30
11,frame_011.png,flip_ud,0.0030819293169690475,0.4363980111859237,0.9010493604507033,0.002968152493625038,0.4991125618466539,0.8819959834717591,False,0,frame_00.npz,31
2,frame_002.png,rot90,0.00343766407969696,0.4393942201171017,0.8990611275747469,0.0033263670488944876,0.4944406960424924,0.9073338315641036,False,0,frame_00.npz,32
