sparsity,sequence,lag,G_l,raw_E_l,reference_E_l,raw_minus_reference
12,StarWarps,2,0.2005133749143177,0.19284073947268446,0.39335411438700213,-0.20051337491431767
12,StarWarps,3,0.36075675857332223,0.2911186157574824,0.6518753743308047,-0.3607567585733223
12,StarWarps,4,0.45313751129524604,0.3581501199467488,0.8112876312419949,-0.4531375112952461
12,StarWarps,5,0.493595184589753,0.4075589622667374,0.9011541468564903,-0.49359518458975293
12,StarWarps+UOT,2,0.1545081102648538,0.2388460041221484,0.39335411438700213,-0.15450811026485373
12,StarWarps+UOT,3,0.26108532022610426,0.3907900541047003,0.6518753743308047,-0.26108532022610437
12,StarWarps+UOT,4,0.29635902169385275,0.5149286095481421,0.8112876312419949,-0.29635902169385275
12,StarWarps+UOT,5,0.28210169358838433,0.6190524532681062,0.9011541468564903,-0.2821016935883841
21,static,2,0.23238204147809932,0.16097207290890284,0.39335411438700213,-0.2323820414780993
21,static,3,0.40069302902389725,0.25118234530690736,0.6518753743308047,-0.4006930290238973
21,static,4,0.5031128685337334,0.3081747627082616,0.8112876312419949,-0.5031128685337333
21,static,5,0.5556027762341839,0.34555137062230645,0.9011541468564903,-0.5556027762341839
21,static+UOT,2,0.13055112422277151,0.26280299016423064,0.39335411438700213,-0.1305511242227715
21,static+UOT,3,0.176841976562134,0.47503339776867054,0.6518753743308047,-0.17684197656213413
21,static+UOT,4,0.16740040019130922,0.6438872310506857,0.8112876312419949,-0.1674004001913092
21,static+UOT,5,0.13366580879952322,0.7674883380569673,0.9011541468564903,-0.13366580879952306
21,StarWarps,2,0.19669620439510857,0.19665790999189361,0.39335411438700213,-0.19669620439510851
21,StarWarps,3,0.36288832068452637,0.28898705364627825,0.6518753743308047,-0.3628883206845264
21,StarWarps,4,0.47308141821158783,0.33820621303040704,0.8112876312419949,-0.47308141821158783
21,StarWarps,5,0.537985117042885,0.3631690298136053,0.9011541468564903,-0.537985117042885
21,StarWarps+UOT,2,0.1394161389153189,0.2539379754716833,0.39335411438700213,-0.13941613891531884
21,StarWarps+UOT,3,0.2648602132497762,0.3870151610810284,0.6518753743308047,-0.26486021324977627
21,StarWarps+UOT,4,0.322394792410837,0.48889283883115786,0.8112876312419949,-0.322394792410837
21,StarWarps+UOT,5,0.31669278750006763,0.5844613593564227,0.9011541468564903,-0.3166927875000676
34,static,2,0.22313697818011516,0.17021713620688703,0.39335411438700213,-0.2231369781801151
34,static,3,0.3779924557078609,0.2738829186229437,0.6518753743308047,-0.37799245570786094
34,static,4,0.46552831621202806,0.3457593150299668,0.8112876312419949,-0.46552831621202806
34,static,5,0.4998599390485616,0.4012942078079287,0.9011541468564903,-0.49985993904856163
34,static+UOT,2,0.13469190958088723,0.25866220480611496,0.39335411438700213,-0.13469190958088717
34,static+UOT,3,0.18368682207465978,0.4681885522561448,0.6518753743308047,-0.18368682207465986
34,static+UOT,4,0.175493661511965,0.63579396973003,0.8112876312419949,-0.17549366151196488
34,static+UOT,5,0.1415003136488096,0.7596538332076808,0.9011541468564903,-0.14150031364880955
34,StarWarps,2,0.1950927242421144,0.1982613901448877,0.39335411438700213,-0.19509272424211443
34,StarWarps,3,0.3555630237846527,0.29631235054615185,0.6518753743308047,-0.3555630237846528
34,StarWarps,4,0.460351401663413,0.3509362295785819,0.8112876312419949,-0.460351401663413
