cg_iter,relative_residual,delta_weight,frame_index,obs_name
42,6.80901359333074e-07,0.0001,2,frame_14.npz
43,4.480793921632783e-07,0.0001,2,frame_14.npz
44,1.7449348683603027e-06,0.0001,2,frame_14.npz
45,5.300654354553567e-08,0.0001,2,frame_14.npz
1,0.09628042514082547,0.001,0,frame_00.npz
2,0.042332216983995086,0.001,0,frame_00.npz
3,0.016313287108240877,0.001,0,frame_00.npz
4,0.013801366768254433,0.001,0,frame_00.npz
5,0.009199185858172608,0.001,0,frame_00.npz
6,0.010469984290846153,0.001,0,frame_00.npz
7,0.006318618348147101,0.001,0,frame_00.npz
8,0.01226598550238865,0.001,0,frame_00.npz
9,0.003828188416712489,0.001,0,frame_00.npz
10,0.003159864887433827,0.001,0,frame_00.npz
11,0.0009374900153044481,0.001,0,frame_00.npz
12,0.000841378843092829,0.001,0,frame_00.npz
13,0.0006981340175000787,0.001,0,frame_00.npz
14,0.0004869588778179963,0.001,0,frame_00.npz
15,0.00014282804618591955,0.001,0,frame_00.npz
16,0.000173675290269866,0.001,0,frame_00.npz
17,0.00019380519738839439,0.001,0,frame_00.npz
18,0.00016709891715859844,0.001,0,frame_00.npz
19,0.0001706518658467411,0.001,0,frame_00.npz
20,0.00011655655080947472,0.001,0,frame_00.npz
21,9.611807413342184e-05,0.001,0,frame_00.npz
22,4.772820408972967e-05,0.001,0,frame_00.npz
23,6.751562367293047e-05,0.001,0,frame_00.npz
24,1.4240719145511745e-05,0.001,0,frame_00.npz
25,2.088088807691357e-05,0.001,0,frame_00.npz
26,9.81421686945437e-06,0.001,0,frame_00.npz
27,2.2628181118702573e-05,0.001,0,frame_00.npz
28,2.3090810927102325e-06,0.001,0,frame_00.npz
29,1.8216412669936364e-06,0.001,0,frame_00.npz
30,1.8574503504641708e-07,0.001,0,frame_00.npz
31,4.1120045227440593e-07,0.001,0,frame_00.npz
32,5.563959450444566e-07,0.001,0,frame_00.npz
33,1.4113293394196826e-07,0.001,0,frame_00.npz
34,3.783807184421136e-08,0.001,0,frame_00.npz
1,0.09494657855730909,0.001,1,frame_07.npz
2,0.04123441248225425,0.001,1,frame_07.npz
3,0.01647740650477418,0.001,1,frame_07.npz
4,0.015420233333529805,0.001,1,frame_07.npz
5,0.008929504467400855,0.001,1,frame_07.npz
6,0.01045622169566268,0.001,1,frame_07.npz
7,0.0073538794002362545,0.001,1,frame_07.npz
8,0.012858163998496533,0.001,1,frame_07.npz
9,0.004125857190691903,0.001,1,frame_07.npz
10,0.002385915690978223,0.001,1,frame_07.npz
11,0.0015848575525366276,0.001,1,frame_07.npz
12,0.00042876164770754526,0.001,1,frame_07.npz
13,0.00027973464733419245,0.001,1,frame_07.npz
14,0.0003912448675601274,0.001,1,frame_07.npz
15,0.00021203148228167264,0.001,1,frame_07.npz
16,0.00018479326113208193,0.001,1,frame_07.npz
17,0.0001585700516203575,0.001,1,frame_07.npz
18,0.00045679356597649797,0.001,1,frame_07.npz
19,0.00013514893517818486,0.001,1,frame_07.npz
20,0.0001492364783102222,0.001,1,frame_07.npz
21,6.231331083046727e-05,0.001,1,frame_07.npz
22,4.4729789133666505e-05,0.001,1,frame_07.npz
23,5.3122756539060196e-05,0.001,1,frame_07.npz
24,1.05061382213613e-05,0.001,1,frame_07.npz
25,9.912673209693967e-06,0.001,1,frame_07.npz
26,7.636364377601808e-06,0.001,1,frame_07.npz
27,2.7193705797128684e-05,0.001,1,frame_07.npz
28,2.1667199240517963e-06,0.001,1,frame_07.npz
29,1.976394143424181e-06,0.001,1,frame_07.npz
30,8.036815938542935e-08,0.001,1,frame_07.npz
1,0.0936329629715546,0.001,2,frame_14.npz
2,0.04034075927965223,0.001,2,frame_14.npz
3,0.016269488814901235,0.001,2,frame_14.npz
4,0.018192224786534598,0.001,2,frame_14.npz
5,0.009288788692085666,0.001,2,frame_14.npz
6,0.009843687067582265,0.001,2,frame_14.npz
7,0.007678850614890365,0.001,2,frame_14.npz
8,0.010631320628518562,0.001,2,frame_14.npz
9,0.0043944917295865625,0.001,2,frame_14.npz
10,0.001741778905157614,0.001,2,frame_14.npz
11,0.0014261363908839545,0.001,2,frame_14.npz
12,0.0003744636808279043,0.001,2,frame_14.npz
13,0.00025064522127031736,0.001,2,frame_14.npz
14,0.00023550105391419296,0.001,2,frame_14.npz
15,0.00014487411924771554,0.001,2,frame_14.npz
16,0.0003820747135458475,0.001,2,frame_14.npz
17,0.00012255670006733403,0.001,2,frame_14.npz
18,0.00025133637262199533,0.001,2,frame_14.npz
19,7.891155784315665e-05,0.001,2,frame_14.npz
20,5.408515733480167e-05,0.001,2,frame_14.npz
21,2.888333237866581e-05,0.001,2,frame_14.npz
22,9.60183515420444e-06,0.001,2,frame_14.npz
23,4.787661793202512e-05,0.001,2,frame_14.npz
