iter,objective,data,prior,tv,step,relative_u_change,relative_objective_change,frame
31,11.88451321858996,3.7518523546044915,8.13266086398547,0.0,1.5768944010601325e-08,1.274322461983296e-10,1.7262082813881018e-12,1
32,11.884513218567935,3.751852353886411,8.132660864681524,0.0,1.6557391211131392e-08,1.368132166686508e-10,1.8532562543049633e-12,1
33,11.884513218544312,3.7518523531162047,8.132660865428107,0.0,1.7385260771687964e-08,1.4674450093987783e-10,1.9877776373939336e-12,1
34,11.884513218518997,3.7518523522908147,8.132660866228182,0.0,1.8254523810272363e-08,1.572584868547552e-10,2.1300713670619786e-12,1
35,11.884513218491888,3.751852351407005,8.132660867084883,0.0,1.9167250000785983e-08,1.683890646497563e-10,2.2810342525297942e-12,1
36,11.884513218462882,3.7518523504613506,8.132660868001532,0.0,2.0125612500825283e-08,1.80171749449133e-10,2.4406662937975213e-12,1
37,11.88451321843187,3.7518523494502363,8.132660868981635,0.0,2.1131893125866547e-08,1.9264379788397016e-10,2.6094158954756032e-12,1
38,11.884513218398734,3.7518523483698374,8.132660870028896,0.0,2.2188487782159875e-08,2.0584433504735476e-10,2.788179866784793e-12,1
39,11.884513218363347,3.751852347216115,8.132660871147232,0.0,2.3297912171267868e-08,2.198144714946195e-10,2.977556080539012e-12,1
40,11.88451321832558,3.7518523459848017,8.132660872340779,0.0,2.4462807779831262e-08,2.3459743382327684e-10,3.1778434731453457e-12,1
41,11.884513218285296,3.751852344671394,8.1326608736139,0.0,2.5685948168822827e-08,2.502386775652754e-10,3.389639917417768e-12,1
42,11.884513218242347,3.7518523432711346,8.132660874971213,0.0,2.697024557726397e-08,2.6678603158696194e-10,3.613842222577149e-12,1
43,11.884513218196581,3.7518523417790055,8.132660876417575,0.0,2.831875785612717e-08,2.8428982050565994e-10,3.850898793234103e-12,1
44,11.884513218147836,3.7518523401897075,8.132660877958129,0.0,2.973469574893353e-08,3.0280300983663276e-10,4.101556970406146e-12,1
45,11.884513218095938,3.7518523384976494,8.132660879598289,0.0,3.122143053638021e-08,3.223813567869918e-10,4.3668630315177094e-12,1
46,11.884513218040707,3.7518523366969343,8.132660881343773,0.0,3.278250206319922e-08,3.430835580453313e-10,4.647265381179544e-12,1
47,11.88451321798195,3.7518523347813373,8.132660883200613,0.0,3.442162716635918e-08,3.6497140985727066e-10,4.943959765019623e-12,1
48,11.884513217919471,3.7518523327442956,8.132660885175175,0.0,3.614270852467714e-08,3.8810997224552207e-10,5.257245119445383e-12,1
49,11.884513217853055,3.751852330578884,8.13266088727417,0.0,3.7949843950911e-08,4.1256775181794354e-10,5.588466658288369e-12,1
50,11.884513217782478,3.7518523282778005,8.132660889504677,0.0,3.9847336148456554e-08,4.3841687048046686e-10,5.938521190769906e-12,1
51,11.8845132177075,3.751852325833343,8.132660891874158,0.0,4.183970295587938e-08,4.657332763631675e-10,6.3089033989251594e-12,1
52,11.88451321762788,3.751852323237391,8.132660894390488,0.0,4.393168810367335e-08,4.945969353638809e-10,6.699463814551577e-12,1
53,11.884513217543349,3.7518523204813827,8.132660897061966,0.0,4.6128272508857024e-08,5.250920345307593e-10,7.112743397108601e-12,1
