sequence,lag,start,end,e_window,reference_e_window,absolute_gap_window,direct_mass_ratio,path_mass_ratio,path_to_direct_mass_ratio,direct_entropy_fraction,path_entropy_fraction,direct_effective_support,path_effective_support,direct_spread_rms,path_spread_rms,direct_displacement_rms,path_displacement_rms
starwarps,4,3,7,0.27570225216621835,0.8690117723280905,0.5933095201618721,0.819423613143181,0.8514611614642923,1.039097663049055,0.9764453960433594,0.9575198134158224,58.06488633923655,53.64091502041033,0.10933590862239555,0.10627622770643656,0.14805459857210376,0.19369886836673458
starwarps,4,4,8,0.34332364941545807,0.8529113707613689,0.5095877213459108,0.7248162404722226,0.9353580038642202,1.290476056737951,0.9753406216639855,0.9621360079429323,57.79783117113191,54.67745468113381,0.11116709061189126,0.1022098538004169,0.16005868340913204,0.21821875247488295
starwarps,4,5,9,0.35622455997266533,0.8116771597659486,0.45545259979328323,0.6667677543320795,0.8855755822741688,1.3281619822201443,0.9715979188366402,0.9561751764625809,56.92621769947695,53.33736299934791,0.11263928489373662,0.1005525447286448,0.16060235445499238,0.21922856082043216
starwarps,4,6,10,0.30446533096290535,0.7790431369128529,0.47457780594994753,0.6729692036675198,0.6587259354321048,0.9788351856848834,0.9751993869018304,0.9603959998815642,57.760484432092696,54.281087504326976,0.11367430894505069,0.1057031213641737,0.1561887890441654,0.21496641650521958
starwarps,4,7,11,0.26443117145754963,0.7766646363317373,0.5122334648741877,0.6447956365758936,0.5396269156019114,0.8368960411511662,0.9691624567687354,0.9546171417123268,56.34421866529585,52.99214005542925,0.10937193622511937,0.09795311685949668,0.15358130403690554,0.20054097400569668
starwarps,4,8,12,0.2952427219913723,0.7776606108764116,0.4824178888850393,0.5956637723135498,0.402510364837702,0.6757341700912199,0.9654254897539676,0.9549124563460292,55.48227999157629,53.0571503307493,0.10839431161987881,0.09963257619909428,0.1550589112903186,0.19865571498222834
starwarps,4,9,13,0.362762310656769,0.7795927526745101,0.4168304420177411,0.6165956164965133,0.3502302405541995,0.5680063743303955,0.9674435704240844,0.9573217649001655,55.938650689702655,53.59145844745427,0.10881954000250899,0.10111885714718685,0.15145174278650922,0.19775381144481952
starwarps,4,10,14,0.4200308686511765,0.7726153407492552,0.3525844720980787,0.5990221807459644,0.29618971256014603,0.49445533417694143,0.9692077996668366,0.9577335762807101,56.33823671957543,53.68353142284851,0.10852226158332498,0.10015266739666419,0.15519482464163808,0.20458361224438823
starwarps,5,0,5,0.5406274379768968,0.9167901868259685,0.37616274884907164,0.8761931666769467,0.4489077329352914,0.5123387741516182,0.9833019633473765,0.9818835364379255,59.74947073108753,59.355274881436245,0.12039827925737656,0.13014903220669194,0.14442149797312914,0.2340442731696577
starwarps,5,1,6,0.4578972772881207,0.931007248362402,0.4731099710742813,1.0081686234633143,0.5793252423771975,0.5746312956924495,0.9808373494809437,0.9798355379964736,59.12228868130018,58.85231283664426,0.11062151070432066,0.12308545114573102,0.1384124542448642,0.2044258205648554
