sequence,lag,n_windows,G_l,G_ci_low,G_ci_high,G_ci_width,raw_E_l,raw_E_ci_low,raw_E_ci_high,reference_E_l,raw_minus_reference,direct_mass_ratio,path_mass_ratio,path_to_direct_mass_ratio,direct_entropy_fraction,path_entropy_fraction,direct_effective_support,path_effective_support,direct_support_saturation,path_support_saturation,direct_spread_rms,path_spread_rms,direct_displacement_rms,path_displacement_rms,usable,usability_reasons
static,3,12,0.3779924557078609,0.2620677109652214,0.48432766246759745,0.22225995150237604,0.2738829186229437,0.17907712572735465,0.375264191832789,0.6518753743308047,-0.37799245570786094,0.7457444392695866,0.48895432030796715,0.6462297802000414,0.9545405823388874,0.9488223661211664,53.170561012559496,51.88077972888789,0.8307900158212421,0.8106371832638732,0.09732704640052021,0.09607854299282464,0.1349508645705982,0.1531925248366878,True,
static,4,11,0.46552831621202806,0.32487462442335213,0.6052757362927788,0.2804011118694266,0.3457593150299668,0.21731983981356182,0.4828347999959155,0.8112876312419949,-0.46552831621202806,0.7625752667454271,0.41833875120321357,0.5509028294880957,0.9559681792677335,0.9506786322429979,53.47857002175383,52.27640992707006,0.8356026565899036,0.8168189051104697,0.09732346256536317,0.09615269880230363,0.13550914547764367,0.15502124666061431,False,wide_G_CI(0.28>0.25)
static,5,10,0.4998599390485616,0.3686841168723686,0.6310357612247547,0.2623516443523861,0.4012942078079287,0.2721725094024815,0.5304159062133759,0.9011541468564903,-0.49985993904856163,0.7697465641613349,0.359222278552492,0.4769085800991834,0.9552219973317888,0.9506876612812375,53.3159279905405,52.29285217111452,0.8330613748521953,0.8170758151736643,0.0967947985661413,0.09576881219935957,0.13525907338579576,0.15527030169118777,False,reference_path_mass_collapse(0.0256<0.05);reference_path_vs_direct_mass_low(0.0645<0.1);wide_G_CI(0.262>0.25)
static,6,9,0.4927186209568246,0.3609704648605884,0.6220604314003577,0.2610899665397693,0.45494645816812146,0.3267818991947305,0.5831110171415124,0.947665079124946,-0.49271862095682456,0.754362361388067,0.3040874545911596,0.41129430199157047,0.9519588212249054,0.9472561611413314,52.573348802006734,51.517256300084384,0.8214585750313552,0.8049571296888185,0.09575092474947788,0.09456532973018042,0.1349467612159219,0.15487416646767924,False,reference_path_mass_collapse(0.013<0.05);reference_path_vs_direct_mass_low(0.0326<0.1);wide_G_CI(0.261>0.25)
static,7,8,0.46360069972011797,0.3485951718373422,0.5786062276028937,0.23001105576555153,0.5088262349367227,0.39383638469993426,0.6238160851735113,0.9724269346568408,-0.4636006997201181,0.7298802741541882,0.2529164919867567,0.3524069739304221,0.9484180318301385,0.942888156378141,51.77587580862545,50.52792073207668,0.8089980595097727,0.7894987614386981,0.09490448867425005,0.09326766116162648,0.1351147820700157,0.15448118635062436,False,reference_path_mass_collapse(0.00666<0.05);reference_path_vs_direct_mass_low(0.0167<0.1)
static,8,7,0.4191052750571066,0.32454169623375134,0.5287999106988042,0.20425821446505282,0.5667639276399925,0.46466013345767865,0.6689017842844447,0.9858692026970992,-0.4191052750571067,0.7135574572426979,0.20531772527091338,0.2950759458014596,0.9457521211321597,0.9403916940898994,51.19692192207534,49.992828884216564,0.7999519050324272,0.7811379513158838,0.09469417309726932,0.0929359341598079,0.1357585223833506,0.1548317131465679,False,reference_path_mass_collapse(0.00336<0.05);reference_path_vs_direct_mass_low(0.00846<0.1)
static,9,6,0.3625480527491629,0.28575221855382055,0.43934388694450527,0.15359166839068472,0.6304012521519369,0.5539387975626826,0.7068637067411911,0.9929493049010998,-0.3625480527491629,0.702952855163408,0.16251478658610366,0.23823582571653015,0.9438408201073497,0.9390687124608849,50.79298275725365,49.72092243214204,0.7936403555820882,0.7768894130022194,0.09457328743362764,0.09290347584617244,0.13559534809869106,0.15447946363020296,False,reference_path_mass_collapse(0.00166<0.05);reference_path_vs_direct_mass_low(0.0042<0.1)
static,10,5,0.2944591057675102,0.23653495135117159,0.34959720525681376,0.11306225390564217,0.702030119681513,0.6468043486999691,0.7599702635851878,0.9964892254490232,-0.2944591057675102,0.6994694988587307,0.12381836030932096,0.18175334151664396,0.9419096137720764,0.9381067237881217,50.39511981951425,49.52961767314059,0.7874237471799101,0.7739002761428218,0.09439161398391187,0.09294493633261693,0.13421762118997266,0.15244331179406548,False,reference_path_mass_collapse(0.000828<0.05);reference_path_vs_direct_mass_low(0.00207<0.1)
static,11,4,0.2209483654988018,0.19054203241899298,0.25135469857861065,0.06081266615961767,0.7772463310691597,0.7467893137013872,0.8077033484369323,0.9981946965679617,-0.22094836549880192,0.6718709093222195,0.08626428440981569,0.1289490171502482,0.9368647859814463,0.933276378950745,49.33391417816297,48.50823651088349,0.7708424090337964,0.7579411954825546,0.0932535768910316,0.0918727475601876,0.13189571018425617,0.14894820396736075,False,few_windows(4<5);reference_path_mass_collapse(0.00043<0.05);reference_path_vs_direct_mass_low(0.00104<0.1)
static,12,3,0.15299786247459146,0.14334362570027825,0.1710524957741899,0.02770887007391165,0.8460394111683528,0.8279828442629258,0.8556747320929531,0.9990372736429443,-0.15299786247459146,0.6566069959126312,0.05606369123682788,0.08524586013572134,0.9336818441236344,0.93066130098505,48.67968654754245,47.97775311025265,0.7606201023053508,0.7496523923476976,0.09272672574733265,0.09142519777880322,0.1302667228253905,0.14612299433274326,False,few_windows(3<5);reference_path_mass_collapse(0.00023<0.05);reference_path_vs_direct_mass_low(0.000547<0.1);candidate_path_vs_direct_mass_low(0.0852<0.1)
static,13,2,0.10341584631201267,0.10051750200319132,0.10631419062083403,0.005796688617642709,0.8960638490957115,0.89317137041606,0.8989563277753629,0.9994796954077241,-0.10341584631201262,0.6777170375267313,0.03788027093384642,0.05588447483142601,0.9362398385343627,0.9339171062666227,49.18744170285329,48.62395225978703,0.7685537766070827,0.7597492540591724,0.09307909159998654,0.09201565831398001,0.12957968564059552,0.14477090589427344,False,few_windows(2<5);reference_path_mass_collapse(0.000122<0.05);reference_path_vs_direct_mass_low(0.000292<0.1);candidate_path_mass_collapse(0.0379<0.05);candidate_path_vs_direct_mass_low(0.0559<0.1)
static,14,1,0.07417626481548978,,,,0.925547474812237,,,0.9997237396277268,-0.07417626481548978,0.6812902982272516,0.026860767456172552,0.03942631727776763,0.9356766101423503,0.9311924614370006,49.06634330867083,48.07299453299407,0.7666616141979817,0.7511405395780324,0.09236500047149945,0.09093913349188996,0.12927021853606743,0.1440701911939195,False,few_windows(1<5);reference_path_mass_collapse(6.48e-05<0.05);reference_path_vs_direct_mass_low(0.000154<0.1);candidate_path_mass_collapse(0.0269<0.05);candidate_path_vs_direct_mass_low(0.0394<0.1);G_CI_unavailable
uot_SW,2,13,0.13133222647770498,0.11779439039861017,0.1429478033300397,0.02515341293142953,0.26202188790929715,0.23495909554645472,0.29425566139525333,0.39335411438700213,-0.13133222647770498,0.5570359786646745,0.3827058190910608,0.6838720103741571,0.9734039779394015,0.9644645379938948,57.364489364247795,55.25086358460357,0.8963201463163718,0.8632947435094308,0.11131718130594051,0.10895981549723377,0.15070685109171247,0.1819738162619873,True,
uot_SW,3,12,0.21495230437660204,0.18562695370030588,0.2401722748079741,0.054545321107668215,0.4369230699542026,0.38018822600833424,0.5023226452272752,0.6518753743308047,-0.21495230437660207,0.5500379365084604,0.26730301787453736,0.48329157813082585,0.9743811097946984,0.9638992111095006,57.59712716710941,55.12064113913874,0.8999551119860846,0.8612600177990428,0.11209265312329515,0.10804641841155145,0.15213848026807322,0.19924132668120445,True,
uot_SW,4,11,0.235537926038612,0.18814490121484842,0.279560857953861,0.09141595673901257,0.5757497052033829,0.50082553624781,0.6568951476491229,0.8112876312419949,-0.235537926038612,0.5505804700915403,0.18784885477584498,0.339448022420333,0.9744822616926624,0.9635953358857005,57.61660824110481,55.05506788068255,0.9002595037672626,0.8602354356356648,0.11199600930203993,0.10739599861175417,0.1524953852854801,0.20794432726868992,True,
uot_SW,5,10,0.21757404367206634,0.16808971243328572,0.26705837491084694,0.09896866247756123,0.683580103184424,0.6127384445547889,0.7521734197222667,0.9011541468564903,-0.21757404367206634,0.5562664709873097,0.13260693231694404,0.23741452363619758,0.9732603544636461,0.962137190458572,57.318747293984146,54.719693340052046,0.8956054264685023,0.8549952084383132,0.11101961425518088,0.10627339755698906,0.1524904305658819,0.21130605758726992,False,reference_path_mass_collapse(0.0256<0.05);reference_path_vs_direct_mass_low(0.0645<0.1)
