label,i,j,relative_distance,stage,prior_weight
delta,3,8,0.004718072341550845,02_residual_signed_ot_from_spatial_init,0.05
delta,3,9,0.005639991653173962,02_residual_signed_ot_from_spatial_init,0.05
delta,3,10,0.006563917288655155,02_residual_signed_ot_from_spatial_init,0.05
delta,3,11,0.007482221937006072,02_residual_signed_ot_from_spatial_init,0.05
delta,3,12,0.00836702731918292,02_residual_signed_ot_from_spatial_init,0.05
delta,3,13,0.009240465583439536,02_residual_signed_ot_from_spatial_init,0.05
delta,3,14,0.009781359230453432,02_residual_signed_ot_from_spatial_init,0.05
delta,4,5,0.000974052897887459,02_residual_signed_ot_from_spatial_init,0.05
delta,4,6,0.0019184971196729277,02_residual_signed_ot_from_spatial_init,0.05
delta,4,7,0.0028561356453600468,02_residual_signed_ot_from_spatial_init,0.05
delta,4,8,0.003794123748014416,02_residual_signed_ot_from_spatial_init,0.05
delta,4,9,0.004725109480465173,02_residual_signed_ot_from_spatial_init,0.05
delta,4,10,0.005658581976282219,02_residual_signed_ot_from_spatial_init,0.05
delta,4,11,0.006586716507006226,02_residual_signed_ot_from_spatial_init,0.05
delta,4,12,0.007481253373768485,02_residual_signed_ot_from_spatial_init,0.05
delta,4,13,0.008364634295290234,02_residual_signed_ot_from_spatial_init,0.05
delta,4,14,0.008911669799341049,02_residual_signed_ot_from_spatial_init,0.05
delta,5,6,0.0009493888024202085,02_residual_signed_ot_from_spatial_init,0.05
delta,5,7,0.0018944155089144989,02_residual_signed_ot_from_spatial_init,0.05
delta,5,8,0.0028409159388742117,02_residual_signed_ot_from_spatial_init,0.05
delta,5,9,0.003780819496620704,02_residual_signed_ot_from_spatial_init,0.05
delta,5,10,0.004723793779750581,02_residual_signed_ot_from_spatial_init,0.05
delta,5,11,0.005661773060360056,02_residual_signed_ot_from_spatial_init,0.05
delta,5,12,0.006566144913393104,02_residual_signed_ot_from_spatial_init,0.05
delta,5,13,0.007459632787214019,02_residual_signed_ot_from_spatial_init,0.05
delta,5,14,0.008012919114513465,02_residual_signed_ot_from_spatial_init,0.05
delta,6,7,0.0009495178511237975,02_residual_signed_ot_from_spatial_init,0.05
delta,6,8,0.0019030076978226631,02_residual_signed_ot_from_spatial_init,0.05
delta,6,9,0.0028510658285841347,02_residual_signed_ot_from_spatial_init,0.05
delta,6,10,0.003803036534296246,02_residual_signed_ot_from_spatial_init,0.05
delta,6,11,0.004750403494272671,02_residual_signed_ot_from_spatial_init,0.05
delta,6,12,0.005664204881748644,02_residual_signed_ot_from_spatial_init,0.05
delta,6,13,0.006567441707207696,02_residual_signed_ot_from_spatial_init,0.05
delta,6,14,0.007126799553599178,02_residual_signed_ot_from_spatial_init,0.05
delta,7,8,0.0009579161205310651,02_residual_signed_ot_from_spatial_init,0.05
delta,7,9,0.0019133542043647304,02_residual_signed_ot_from_spatial_init,0.05
delta,7,10,0.0028741359613287287,02_residual_signed_ot_from_spatial_init,0.05
delta,7,11,0.0038307220573064126,02_residual_signed_ot_from_spatial_init,0.05
delta,7,12,0.004753796339319621,02_residual_signed_ot_from_spatial_init,0.05
delta,7,13,0.005666663129573019,02_residual_signed_ot_from_spatial_init,0.05
delta,7,14,0.006232049089244544,02_residual_signed_ot_from_spatial_init,0.05
delta,8,9,0.000960464647269999,02_residual_signed_ot_from_spatial_init,0.05
delta,8,10,0.001928988811841706,02_residual_signed_ot_from_spatial_init,0.05
delta,8,11,0.002894268095955217,02_residual_signed_ot_from_spatial_init,0.05
delta,8,12,0.003826348855460183,02_residual_signed_ot_from_spatial_init,0.05
delta,8,13,0.004748681500330395,02_residual_signed_ot_from_spatial_init,0.05
delta,8,14,0.005320022053317349,02_residual_signed_ot_from_spatial_init,0.05
delta,9,10,0.0009733040992316645,02_residual_signed_ot_from_spatial_init,0.05
delta,9,11,0.0019460412447715675,02_residual_signed_ot_from_spatial_init,0.05
delta,9,12,0.0028867407054216365,02_residual_signed_ot_from_spatial_init,0.05
delta,9,13,0.0038183344515402653,02_residual_signed_ot_from_spatial_init,0.05
delta,9,14,0.0043955037321129825,02_residual_signed_ot_from_spatial_init,0.05
delta,10,11,0.0009774642467890963,02_residual_signed_ot_from_spatial_init,0.05
delta,10,12,0.001925785667312949,02_residual_signed_ot_from_spatial_init,0.05
delta,10,13,0.002866267533051187,02_residual_signed_ot_from_spatial_init,0.05
delta,10,14,0.003449089807702692,02_residual_signed_ot_from_spatial_init,0.05
delta,11,12,0.0009532763240121739,02_residual_signed_ot_from_spatial_init,0.05
delta,11,13,0.0019015731517315268,02_residual_signed_ot_from_spatial_init,0.05
delta,11,14,0.0024896993671423384,02_residual_signed_ot_from_spatial_init,0.05
delta,12,13,0.000953077268115245,02_residual_signed_ot_from_spatial_init,0.05
delta,12,14,0.0015454625615251875,02_residual_signed_ot_from_spatial_init,0.05
delta,13,14,0.0005947619783013273,02_residual_signed_ot_from_spatial_init,0.05
pairwise_delta_difference,0,1,0.4476889651431428,02_residual_signed_ot_from_spatial_init,0.05
pairwise_delta_difference,0,2,0.61751491619758,02_residual_signed_ot_from_spatial_init,0.05
pairwise_delta_difference,0,3,0.7093434722325802,02_residual_signed_ot_from_spatial_init,0.05
pairwise_delta_difference,0,4,0.7666548141904991,02_residual_signed_ot_from_spatial_init,0.05
pairwise_delta_difference,0,5,0.8043418539561457,02_residual_signed_ot_from_spatial_init,0.05
pairwise_delta_difference,0,6,0.8316294126377979,02_residual_signed_ot_from_spatial_init,0.05
pairwise_delta_difference,0,7,0.8524495416810847,02_residual_signed_ot_from_spatial_init,0.05
pairwise_delta_difference,0,8,0.8687446368267294,02_residual_signed_ot_from_spatial_init,0.05
pairwise_delta_difference,0,9,0.8819698149827538,02_residual_signed_ot_from_spatial_init,0.05
pairwise_delta_difference,0,10,0.892838117217701,02_residual_signed_ot_from_spatial_init,0.05
