frame_index,frc_bin,frc_source,normalized_spatial_frequency,uv_radius_midpoint,frc,sample_count
8,7,image,0.234375,,0.7089737662389665,48
8,8,image,0.265625,,0.6418234221731751,56
8,9,image,0.296875,,0.48597769941047464,56
8,10,image,0.328125,,0.5410295221006123,68
8,11,image,0.359375,,0.7235156052168674,64
8,12,image,0.390625,,0.5747417032590189,80
8,13,image,0.421875,,0.4812170926132516,92
8,14,image,0.453125,,0.6706781281208224,88
8,15,image,0.484375,,0.7665263483315857,96
8,16,image,0.515625,,0.6441272124108561,96
8,17,image,0.546875,,0.4917018415913752,116
8,18,image,0.578125,,0.5032499815832129,120
8,19,image,0.609375,,0.570454826752378,120
8,20,image,0.640625,,0.5578171158583886,124
8,21,image,0.671875,,0.41215707441859223,144
8,22,image,0.703125,,0.36938435107970136,136
8,23,image,0.734375,,0.17718647840292667,140
8,24,image,0.765625,,-0.1245973180217613,152
8,25,image,0.796875,,-0.15342450912987732,168
8,26,image,0.828125,,-0.08863202971785604,176
8,27,image,0.859375,,-0.25001088805761834,164
8,28,image,0.890625,,-0.36717785411009934,168
8,29,image,0.921875,,-0.4203154254177678,192
8,30,image,0.953125,,-0.4046719437401857,188
8,31,image,0.984375,,-0.5469820059398073,210
9,0,image,0.015625,,1.0,1
9,1,image,0.046875,,0.9999815232658362,8
9,2,image,0.078125,,0.9999138762206276,16
9,3,image,0.109375,,0.99742948182461,20
9,4,image,0.140625,,0.9577288962317635,24
9,5,image,0.171875,,0.8212271351182853,40
9,6,image,0.203125,,0.6849500008367199,36
9,7,image,0.234375,,0.7643117831105707,48
9,8,image,0.265625,,0.6163552033642271,56
9,9,image,0.296875,,0.42997691176040403,56
9,10,image,0.328125,,0.33058837140314823,68
9,11,image,0.359375,,0.33662741187518613,64
9,12,image,0.390625,,0.34392432353947366,80
9,13,image,0.421875,,0.24672997469616906,92
9,14,image,0.453125,,0.42176190120670803,88
9,15,image,0.484375,,0.40581912046045676,96
9,16,image,0.515625,,0.27410802127662026,96
9,17,image,0.546875,,0.4296637098174785,116
9,18,image,0.578125,,0.45996375442630166,120
9,19,image,0.609375,,0.4300248332766326,120
9,20,image,0.640625,,0.34335965123890677,124
9,21,image,0.671875,,0.307839548802285,144
9,22,image,0.703125,,0.1551157267683099,136
9,23,image,0.734375,,0.04030546133585803,140
9,24,image,0.765625,,-0.17917692956853626,152
9,25,image,0.796875,,-0.16513006576139294,168
9,26,image,0.828125,,-0.06679537577570335,176
9,27,image,0.859375,,-0.2528626002510756,164
9,28,image,0.890625,,-0.42614374763815643,168
9,29,image,0.921875,,-0.42036965391376346,192
9,30,image,0.953125,,-0.27587090283061616,188
9,31,image,0.984375,,-0.3478735851508401,210
10,0,image,0.015625,,1.0,1
10,1,image,0.046875,,0.9999854621183728,8
10,2,image,0.078125,,0.9997799996929704,16
10,3,image,0.109375,,0.9989399233086076,20
10,4,image,0.140625,,0.9784447444409172,24
10,5,image,0.171875,,0.7633002594332009,40
10,6,image,0.203125,,0.3274617049058356,36
10,7,image,0.234375,,0.6041767659963432,48
10,8,image,0.265625,,0.5018159453286809,56
10,9,image,0.296875,,0.262712206802904,56
10,10,image,0.328125,,0.4881899208063889,68
10,11,image,0.359375,,0.5964988263852261,64
10,12,image,0.390625,,0.4274923490500612,80
10,13,image,0.421875,,0.3279989319353768,92
10,14,image,0.453125,,0.6480104808393343,88
10,15,image,0.484375,,0.5035415045005291,96
10,16,image,0.515625,,0.33592154370339106,96
10,17,image,0.546875,,0.5295560675686084,116
10,18,image,0.578125,,0.41939905653129134,120
10,19,image,0.609375,,0.2317066456250931,120
10,20,image,0.640625,,0.3649184872910899,124
10,21,image,0.671875,,0.41833878241310385,144
10,22,image,0.703125,,0.3006892147977891,136
10,23,image,0.734375,,0.07227112766864326,140
10,24,image,0.765625,,-0.16703336897704746,152
10,25,image,0.796875,,-0.07797118761732308,168
10,26,image,0.828125,,0.1031320990376137,176
10,27,image,0.859375,,0.11528577076764694,164
10,28,image,0.890625,,0.032966091803722994,168
10,29,image,0.921875,,-0.2876652355894888,192
10,30,image,0.953125,,-0.09864699448698942,188
10,31,image,0.984375,,-0.15980700152613264,210
11,0,image,0.015625,,1.0,1
11,1,image,0.046875,,0.9999627104806216,8
11,2,image,0.078125,,0.9995430074042467,16
11,3,image,0.109375,,0.9981782783733143,20
11,4,image,0.140625,,0.9443360393795148,24
11,5,image,0.171875,,0.7161092909834128,40
11,6,image,0.203125,,0.4368476960744565,36
11,7,image,0.234375,,0.5353502006568158,48
11,8,image,0.265625,,0.3132169066081985,56
11,9,image,0.296875,,-0.09543109991339781,56
11,10,image,0.328125,,0.09424434790667603,68
11,11,image,0.359375,,0.10439414006129397,64
11,12,image,0.390625,,-0.23760347277681695,80
11,13,image,0.421875,,-0.29490981910077324,92
11,14,image,0.453125,,0.0214558194906572,88
11,15,image,0.484375,,0.020885810249006497,96
11,16,image,0.515625,,-0.10173939237103832,96
11,17,image,0.546875,,0.08774118107083498,116
11,18,image,0.578125,,0.23621811778215182,120
11,19,image,0.609375,,0.07731598673348443,120
11,20,image,0.640625,,0.3230685719742084,124
11,21,image,0.671875,,0.434581525718655,144
11,22,image,0.703125,,0.335301009983456,136
11,23,image,0.734375,,0.12249097613028938,140
11,24,image,0.765625,,-0.10412977577786571,152
11,25,image,0.796875,,0.1043000943008418,168
11,26,image,0.828125,,-0.02677041954982135,176
11,27,image,0.859375,,0.058167967038284946,164
11,28,image,0.890625,,-0.08314367310511081,168
11,29,image,0.921875,,-0.20765163070404719,192
11,30,image,0.953125,,-0.07581171318510284,188
11,31,image,0.984375,,-0.16377794732082115,210
12,0,image,0.015625,,1.0,1
12,1,image,0.046875,,0.9999874128899381,8
12,2,image,0.078125,,0.9998638797437399,16
12,3,image,0.109375,,0.9972534932595536,20
12,4,image,0.140625,,0.9750482477650254,24
12,5,image,0.171875,,0.893345725125436,40
12,6,image,0.203125,,0.8114778256228083,36
12,7,image,0.234375,,0.8253516910677119,48
12,8,image,0.265625,,0.6991580840204359,56
12,9,image,0.296875,,0.5102391630021722,56
12,10,image,0.328125,,0.7700138744051044,68
12,11,image,0.359375,,0.73826702116689,64
12,12,image,0.390625,,0.6125738110810542,80
12,13,image,0.421875,,0.3717658055032112,92
12,14,image,0.453125,,0.6337026189637582,88
12,15,image,0.484375,,0.3726226827180805,96
12,16,image,0.515625,,0.040765859403410216,96
12,17,image,0.546875,,0.15435568213680234,116
12,18,image,0.578125,,0.031116899115971746,120
12,19,image,0.609375,,-0.20748586953659234,120
12,20,image,0.640625,,0.030826230159752544,124
12,21,image,0.671875,,0.3165924997616282,144
12,22,image,0.703125,,-0.014284539844774725,136
12,23,image,0.734375,,-0.010996976630267575,140
12,24,image,0.765625,,-0.033748264572559195,152
12,25,image,0.796875,,0.08151157305309126,168
12,26,image,0.828125,,-0.009022916058702896,176
12,27,image,0.859375,,0.1824566507015398,164
12,28,image,0.890625,,0.11778514634044557,168
12,29,image,0.921875,,-0.23716246761706333,192
12,30,image,0.953125,,-0.09648745052487129,188
12,31,image,0.984375,,-0.0997267116626987,210
13,0,image,0.015625,,1.0,1
13,1,image,0.046875,,0.9999654585207072,8
13,2,image,0.078125,,0.999962661121206,16
13,3,image,0.109375,,0.9995276201373423,20
13,4,image,0.140625,,0.9940654901616841,24
13,5,image,0.171875,,0.9224169404709498,40
13,6,image,0.203125,,0.7188126589842193,36
13,7,image,0.234375,,0.8068912695726598,48
13,8,image,0.265625,,0.5827519339268724,56
13,9,image,0.296875,,0.13390279247754835,56
13,10,image,0.328125,,0.4083440965833951,68
13,11,image,0.359375,,0.4744926878645778,64
13,12,image,0.390625,,0.2827074694816515,80
13,13,image,0.421875,,0.22785212284918627,92
13,14,image,0.453125,,0.5525983819067911,88
13,15,image,0.484375,,0.16127383807751988,96
13,16,image,0.515625,,-0.12471111271903851,96
13,17,image,0.546875,,-0.18670707847726434,116
13,18,image,0.578125,,-0.4574598668173947,120
13,19,image,0.609375,,-0.5289440360255373,120
13,20,image,0.640625,,-0.37150312041585154,124
13,21,image,0.671875,,-0.27250358170428707,144
13,22,image,0.703125,,-0.3237592922708487,136
13,23,image,0.734375,,-0.09411771706727583,140
13,24,image,0.765625,,-0.21756535716057163,152
13,25,image,0.796875,,0.1556181937790642,168
13,26,image,0.828125,,-0.051027058359906334,176
13,27,image,0.859375,,0.2595073366496396,164
13,28,image,0.890625,,-0.005107439082823897,168
13,29,image,0.921875,,-0.380866959353862,192
13,30,image,0.953125,,-0.10744188368182842,188
13,31,image,0.984375,,-0.18265134684619008,210
14,0,image,0.015625,,1.0,1
14,1,image,0.046875,,0.9999882009991576,8
14,2,image,0.078125,,0.9999489981552776,16
14,3,image,0.109375,,0.9981505109082959,20
14,4,image,0.140625,,0.9672288920536888,24
14,5,image,0.171875,,0.7644173620262673,40
14,6,image,0.203125,,0.01153734882894405,36
14,7,image,0.234375,,0.13987928167181576,48
14,8,image,0.265625,,-0.2501766930459724,56
14,9,image,0.296875,,-0.6009545747139441,56
14,10,image,0.328125,,-0.4173425038643005,68
14,11,image,0.359375,,-0.016564212487634046,64
14,12,image,0.390625,,-0.13092578048235481,80
14,13,image,0.421875,,-0.10148718615129218,92
14,14,image,0.453125,,0.3282434431641839,88
14,15,image,0.484375,,0.2055209252974116,96
14,16,image,0.515625,,-0.046753480846925856,96
14,17,image,0.546875,,-0.012887725999905229,116
14,18,image,0.578125,,-0.11829269588368367,120
14,19,image,0.609375,,-0.4130273450375144,120
14,20,image,0.640625,,-0.14586451436520825,124
14,21,image,0.671875,,0.12886334145316558,144
14,22,image,0.703125,,0.04534812053853645,136
14,23,image,0.734375,,0.04095675418755208,140
14,24,image,0.765625,,-0.13207093322767766,152
14,25,image,0.796875,,0.05428710667019854,168
14,26,image,0.828125,,-0.0490899652882005,176
14,27,image,0.859375,,0.28338459797707993,164
14,28,image,0.890625,,0.09175315825113214,168
14,29,image,0.921875,,-0.16455875206651885,192
14,30,image,0.953125,,-0.05607225458264052,188
14,31,image,0.984375,,-0.06447453704805535,210
